Common Name,UID
RSV-1C,NP_044589.1
RSV-1B,NP_044590.1
RSV-N,NP_044591.1
RSV-P,NP_044592.1
RSV-M,NP_044593.1
RSV-SH,NP_044594.1
RSV-G,NP_044595.1
RSV-F,NP_044596.1
RSV-M2.22K,NP_044597.1
RSV-L,NP_044598.1
CMV-UL30A,YP_007947989.1
CMV-UL24,YP_081483.2
CMV-US33A,YP_004940332.1
CMV-UL150A,YP_004940331.1
CMV-RL9A,YP_004940330.1
CMV-RL8A,YP_004940329.1
CMV-24,YP_002802310.2
CMV-UL8,YP_081468.2
CMV-UL29,YP_081487.2
BKV-VP1,YP_717939.1
BKV-VP2,YP_717937.1
BKV-VP3,YP_717938.1
BKV-sT,YP_717941.1
BKV-lT,YP_717940.1
BKV-AP,YP_717936.1
